69
RecommendedItem[item:210, value:0.6909091]
RecommendedItem[item:181, value:0.6545454]
RecommendedItem[item:174, value:0.6545454]
RecommendedItem[item:294, value:0.6545454]
RecommendedItem[item:127, value:0.5090909]
RecommendedItem[item:405, value:0.5090909]
RecommendedItem[item:288, value:0.5090909]
RecommendedItem[item:117, value:0.5090909]
RecommendedItem[item:258, value:0.5090909]
RecommendedItem[item:79, value:0.47272727]
204
RecommendedItem[item:222, value:0.8363636]
RecommendedItem[item:121, value:0.8363636]
RecommendedItem[item:237, value:0.6545454]
RecommendedItem[item:1, value:0.6545454]
RecommendedItem[item:168, value:0.6545454]
RecommendedItem[item:286, value:0.6545454]
RecommendedItem[item:100, value:0.6545454]
RecommendedItem[item:79, value:0.6545454]
RecommendedItem[item:151, value:0.6545454]
RecommendedItem[item:195, value:0.6545454]
